,afr,amh,ara,asm,ast,azj,bel,bul,ben,bos,cat,ceb,ces,cym,dan,deu,ell,eng,spa,est,fas,ful,fin,fra,gle,glg,guj,hau,heb,hin,hrv,hun,hye,ind,ibo,isl,ita,jpn,jav,kat,kam,kea,kaz,khm,kan,kor,kur,kir,ltz,lug,lin,lao,lit,luo,lav,mri,mkd,mal,mon,mar,msa,mlt,mya,npi,nld,nob,nso,nya,oci,orm,ory,pan,pol,pus,por,ron,rus,snd,slk,slv,sna,som,srp,swe,swh,tam,tel,tgk,tha,tgl,tur,ukr,umb,urd,uzb,vie,wol,xho,yor,zho_simp,zul,zho_trad
afr,-,1.43,14.9,1.39,23.39,7.54,8.01,31.69,20.11,24.48,26.17,9.21,26.7,13.62,35.28,28.69,22.67,47.31,22.41,24.74,20.62,0.49,21.12,35.12,0.42,29.32,0.46,3.46,20.57,23.77,24.92,24.02,4.54,29.94,2.11,17.32,23.91,19.92,14.67,2.9,0.22,2.19,2.38,7.06,1.06,16.07,0.09,1.57,16.5,0.43,0.82,5.19,24.27,2.61,24.02,2.07,29.34,9.23,5.34,9.07,27.85,28.57,2.54,0.61,25.2,27.94,1.15,7.25,20.41,0.35,0.13,4.5,18.83,8.92,35.27,32.02,23.1,0.07,27.33,24.88,5.68,2.77,27.27,33.69,22.6,3.9,0.7,3.02,10,14,21.98,24.03,0.81,13.28,0.95,31.21,0.67,2.88,1.51,16.4,2.87,0
amh,5.34,-,1.98,0.27,3.91,1.37,1.15,6.98,4.28,3.22,5.98,1.75,4.54,3.68,5.77,4.46,6.1,7.64,6.1,5.3,4.76,0.06,4.08,7.74,0.34,6.45,0.5,1.08,4.38,5.91,4.31,4.55,1.32,5.71,1.51,3.95,5.38,3.81,2.34,0.69,0.06,0.12,0.62,2,0.68,3.18,0.03,0.36,3.16,0.22,0.32,0.58,5.37,0.56,5.43,0.75,6.84,2.13,1,2.36,4.9,7.79,0.8,1.13,5.05,5.45,0.37,2.07,3.77,0.1,0.14,1.58,4.19,2.04,7.52,6.37,4.65,0.04,4.7,4.69,1.84,0.95,5.67,5.17,4.74,1.32,0.29,0.79,2.09,4.88,2.92,4.62,0.26,3.33,0.28,7.08,0.16,1.97,0.39,4.37,2.25,0
ara,18.96,0.97,-,0.9,16.59,2.76,1.1,23.75,16.15,17.43,18.86,2.87,19.47,8.92,22,18.71,18.72,25.5,16.74,18.27,17.79,0.19,15.61,25.69,0.35,21.29,0.18,1.16,17.25,19.45,18.41,17.34,2.39,21.29,0.98,13.25,17.82,16.02,8.79,1.34,0.07,0.98,0.52,5.07,0.61,13.31,0.08,1.04,9.39,0.09,0.21,1.86,18.84,0.62,20.04,0.96,22.2,2.93,3.88,2.5,18.92,19.11,1.75,0.32,17.36,16.98,0.4,3.46,13.62,0.17,0.07,2.7,14.62,6.54,25.1,23.44,17.79,0.07,19.98,18.8,3.22,0.97,19.74,21.44,15.45,0.88,0.34,1.92,7.48,3.83,15.5,17.67,0.24,9.79,0.46,24.2,0.18,1.25,0.41,13.1,1.46,0
asm,3.65,0.45,1.19,-,1.78,1.03,1.21,4.82,3.95,1.85,2.84,1,3.4,1.36,2.76,3.23,4.15,3.76,4.05,4.14,3.22,0.02,3.3,4.61,0.22,4.48,0.23,0.35,3.04,5.53,3.02,4.17,0.63,3.29,0.35,2.61,3.49,2.95,1.22,0.45,0.03,0.12,0.36,1.15,0.29,2.58,0.01,0.26,2.22,0.06,0.21,0.58,4.31,0.13,3.84,0.54,4.64,1.47,0.6,1.9,2.93,3.45,0.41,0.56,3.29,2.94,0.28,1.16,2.37,0.18,0.09,0.89,2.88,1.01,4.37,4.54,2.99,0.04,3.44,3.19,0.65,0.31,3.33,3.55,2.98,0.68,0.11,0.63,0.8,1.04,1.88,2.87,0.17,2.3,0.13,5.06,0.09,0.57,0.06,2.44,0.51,0
ast,20.35,0.71,9.11,0.34,-,3.57,0.44,21.17,11.11,13.56,26.13,1.56,19.02,6.35,20.07,20.85,19.8,27.59,23.64,19.93,14.64,0.15,16.6,29.02,0.32,31.66,0.14,1.09,15.97,17.11,10.1,20.14,1.57,22,1.38,10.21,20.81,14.97,6.54,0.96,0.08,3,0.19,3.95,0.46,12.62,0.02,0.54,7.11,0.26,0.26,1.23,20.42,0.88,12.38,1.11,22.08,3.3,2.29,4.17,19.01,11.1,1.04,0.16,18.37,18.43,0.43,3.78,15.29,0.13,0.02,1.38,15.15,4.97,30.81,25.11,17.1,0.02,19.33,16.38,3.08,0.89,19.62,21.87,10.13,0.52,0.25,0.54,4.55,6.63,12.75,16.84,0.37,6.4,0.37,23.16,0.36,1.04,0.74,13.92,1.07,0
azj,5.51,0.53,0.91,0.27,4.83,-,2.05,8.85,4.5,7.86,7.79,1.08,6.9,3.95,6.74,6.05,9.27,7.33,7.18,9.73,4.96,0.04,8.12,9.53,0.35,7.29,0.25,0.79,4.9,6.93,6.18,8.24,0.72,5.49,0.82,5.17,7.94,2.75,1.82,0.92,0.08,0.24,0.87,2.14,0.42,3.25,0.01,0.4,2.44,0.03,0.21,0.86,10.19,0.63,10.37,0.9,8.79,1.56,2.76,1.96,4.81,7.14,0.86,0.76,6.83,6.25,0.33,1.83,4.34,0.09,0.12,1.98,5.85,3.86,9.41,8.73,5.57,0.04,7.94,7.59,1.12,0.54,6.84,7.22,5.03,1.03,0.17,0.38,1.65,3.53,7.01,6.97,0.36,3.5,0.53,13.27,0.11,0.86,0.35,3.55,0.85,0
bel,10.53,0.97,5.31,0.56,8.73,3.31,-,16.61,9.53,11.29,11.64,2.78,11.81,5.83,10.82,10.92,12.12,12.42,12.1,12.02,8.9,0.06,9.95,14.65,0.37,12.93,0.28,1.15,9.01,11.42,10.9,10.17,2.04,10.08,0.96,7.58,12.19,8.82,5.95,1.83,0.09,0.36,1.31,3.84,0.49,7.9,0.04,0.92,6.92,0.19,0.21,1.9,13.68,0.61,9.36,0.85,15.98,4.35,3.72,4.54,9.29,11.73,1.44,0.86,11.67,9.68,0.42,3.21,8.62,0.18,0.13,2.72,11.48,4.86,13.5,14.31,17.95,0.03,12.14,12.57,2.54,0.8,14.08,11.73,9.11,1.72,0.29,2.28,4.81,5.79,5.45,17.78,0.3,6.6,0.44,14.01,0.09,1.07,0.52,8.97,1.14,0
bul,23.92,1.33,14.54,1.46,22.33,7.26,2.65,-,19.67,26.61,24.92,6.57,27.04,10.86,29.57,26.1,23.91,32.96,22.08,25.41,20.68,0.15,20.78,33.69,0.34,27.93,0.3,2.21,20.28,23.11,25.62,23.69,4.05,26.09,1.47,15.69,23.88,20.94,11.52,2.64,0.16,1.82,0.57,6.14,0.81,16.45,0.11,1.68,12.47,0.19,0.48,3.51,25.79,1.38,13.54,1.3,32.51,9.41,6.33,9.35,22.85,23.5,2.31,0.53,22.65,22.83,0.68,5.25,18.43,0.28,0.18,4.01,20.57,8.03,32.22,30.86,26.46,0.09,27.81,26.36,4.59,1.56,30.01,29.59,20.86,2.39,0.59,3.32,8.74,6.8,19.4,27.09,0.49,13.37,1.02,29.11,0.34,2.04,0.78,17.47,2.09,0
ben,16.44,1.51,10.71,2.66,14.13,5.16,4.28,19.78,-,14.46,16.77,5.54,16.15,8.08,18.72,15.88,15.04,22.86,14.78,16.32,15.24,0.19,13.53,22.07,0.34,17.71,0.44,1.55,13.57,21.76,14.93,15.82,3.46,18.57,1.11,11.3,15.19,16.53,8.8,2.26,0.11,0.94,0.76,5.77,1.46,12.96,0.08,1.19,9.53,0.14,0.33,3.36,15.79,0.88,16.98,1,18.73,8.96,4.39,9.65,17.34,17.72,2.11,0.59,15.17,15.09,0.51,4.49,12.54,0.21,0.22,4.96,12.2,7.03,20.99,19.39,14.69,0.11,16.48,15.56,3.29,1.18,16.87,18.84,14.88,4.8,0.65,1.99,6.83,7.37,14.8,15.36,0.27,12.9,0.7,21.69,0.17,1.84,0.54,12.17,1.89,0
bos,25.98,1.64,15.1,2.06,23.5,9.06,12.57,34.91,20.52,-,25.83,10.88,30.51,11.93,31.92,28.19,24.12,33.88,23.25,26.6,20.83,0.32,22.72,34.99,0.95,29.38,2,2.82,21.48,23.57,34.28,25.24,4.44,29.04,2.21,16.85,25.4,21.3,13.11,3.55,0.19,2.3,5.36,7.64,1.15,16.56,0.1,2.08,15.57,0.39,0.93,5.05,27.68,2.3,28.23,1.54,35.34,10.9,5.47,10.42,25.41,26.83,2.53,9.58,23.52,24.72,1.06,7.41,19.98,0.41,0.19,3.81,22.53,7.88,34.05,32.08,26,0.1,31.35,30.54,5.55,2.3,35.84,30.55,22.11,7.05,0.78,3.63,10.32,14.47,22.39,27.45,0.6,13.25,1.41,30.23,0.74,2.68,1.23,17.34,2.59,0
